ds,yhat
2024-08-24,858.0520074451139
2024-08-25,1075.2103982570172
2024-08-26,1272.4386621885892
2024-08-27,1186.1776568470332
2024-08-28,877.1482872154897
2024-08-29,716.7039528452191
2024-08-30,741.6902916707305
2024-08-31,790.2915524519693
2024-09-01,1005.4119765041864
2024-09-02,1201.5149146627375
2024-09-03,1115.1096546283156
2024-09-04,806.967786564501
2024-09-05,648.4735804928553
2024-09-06,676.4820710999434
2024-09-07,729.1642427524799
2024-09-08,949.3877455694012
2024-09-09,1151.5559063201997
2024-09-10,1072.0950332991845
2024-09-11,771.6718521466089
2024-09-12,621.5455395635446
2024-09-13,658.4280280258974
2024-09-14,720.33193592959
2024-09-15,949.9545003980071
2024-09-16,1161.504597880048
2024-09-17,1091.2408250012154
2024-09-18,799.6462770632902
2024-09-19,657.8004986511118
2024-09-20,702.244118759851
2024-09-21,770.8310252888534
2024-09-22,1006.1163451024174
2024-09-23,1222.2028167468059
2024-09-24,1155.2353707416594
2024-09-25,865.6255673342368
2024-09-26,724.4101736991821
2024-09-27,768.1173758246971
2024-09-28,834.6198136420456
2024-09-29,1066.522667556127
2024-09-30,1278.0093642926215
2024-10-01,1205.3347175976853
2024-10-02,909.0471744852281
2024-10-03,760.3444898855105
2024-10-04,795.9363851960604
2024-10-05,853.893457725903
2024-10-06,1077.0306640692738
2024-10-07,1279.748054470188
2024-10-08,1198.5186944716606
2024-10-09,894.0949540929785
2024-10-10,737.8907214865076
2024-10-11,766.8070346411712
2024-10-12,819.0867317388978
2024-10-13,1037.6934736485146
2024-10-14,1237.1485563863166
2024-10-15,1154.0155586654305
2024-10-16,849.1147182079335
2024-10-17,693.8715701588293
2024-10-18,725.1735952598675
2024-10-19,781.2143132930803
2024-10-20,1004.8732849105173
2024-10-21,1210.5548063662036
2024-10-22,1134.6753049983074
2024-10-23,837.8812687774075
2024-10-24,691.4021609481463
2024-10-25,731.9119651656396
2024-10-26,797.3786767591477
2024-10-27,1030.4500687027344
2024-10-28,1245.2983709623147
2024-10-29,1178.1137175947886
2024-10-30,889.328037761641
2024-10-31,749.9736849398666
2024-11-01,796.5502441175581
2024-11-02,866.8789560313809
2024-11-03,1103.4924217957807
2024-11-04,1320.4826456004635
2024-11-05,1253.9969070065797
2024-11-06,964.46311861132
2024-11-07,822.9489137962233
2024-11-08,866.027933899424
2024-11-09,931.6324897332534
2024-11-10,1162.4408246197736
2024-11-11,1372.721558735914
2024-11-12,1298.8251547457182
2024-11-13,1001.4041118546179
2024-11-14,851.7662586628712
2024-11-15,886.7347576103748
2024-11-16,944.4941536553666
2024-11-17,1167.9708623584932
2024-11-18,1371.6708511753322
2024-11-19,1292.1645295272053
2024-11-20,990.3007273504999
2024-11-21,837.5542976103627
2024-11-22,870.8811088314715
2024-11-23,928.5598976482191
2024-11-24,1153.5694935516817
2024-11-25,1360.4242684434998
2024-11-26,1285.6578884483138
2024-11-27,990.037297465752
2024-11-28,844.9114774989823
2024-11-29,887.0687367042289
2024-11-30,954.5819501308932
2024-12-01,1190.1901929768333
2024-12-02,1408.139515485148
2024-12-03,1344.6728208645216
2024-12-04,1060.2506231813124
2024-12-05,925.9070716972536
2024-12-06,978.1148158839776
2024-12-07,1054.637951020079
2024-12-08,1297.921294631111
2024-12-09,1521.9385536372413
2024-12-10,1462.6891593703062
2024-12-11,1180.425372996065
2024-12-12,1046.0138875150778
2024-12-13,1095.805358605731
2024-12-14,1167.4909841244023
2024-12-15,1403.494287413399
2024-12-16,1617.8205966236621
2024-12-17,1546.5539587258568
2024-12-18,1250.0830824584223
2024-12-19,1099.4605586317925
2024-12-20,1131.2688420138363
2024-12-21,1183.4721955088921
2024-12-22,1398.8028590950107
2024-12-23,1591.6040670951268
2024-12-24,1498.319804483126
2024-12-25,1179.7130653834665
2024-12-26,1007.2170436930635
2024-12-27,1017.7929298517575
2024-12-28,1049.7737074582178
2024-12-29,1246.2424039574605
2024-12-30,1421.8676045561267
2024-12-31,1313.3862949356862
2025-01-01,981.8159558700879
2025-01-02,798.800480702622
2025-01-03,801.4637085515172
2025-01-04,828.2500607099201
2025-01-05,1022.3008010358052
2025-01-06,1198.2887673851494
2025-01-07,1092.9016481834592
2025-01-08,767.0557063576093
2025-01-09,592.2444720954392
2025-01-10,605.3961205784561
2025-01-11,644.7189210246013
2025-01-12,853.0831528714596
2025-01-13,1044.8621943851924
2025-01-14,956.4226991590615
2025-01-15,648.3455936029245
2025-01-16,491.7822408348908
2025-01-17,523.3193087892821
2025-01-18,580.8315519537675
